campaign_name,Windows Workstation,Windows Server,Linux Server,Linux Desktop,macOS Host,ESXi Host,Network Device,Web Server,Database Server,Mail Server,Domain Controller,File Server,Cloud Service,Container Host,Security Appliance
2015 Ukraine Electric Power Attack,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2016 Ukraine Electric Power Attack,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2022 Ukraine Electric Power Attack,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
3CX Supply Chain Attack,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
APT28 Nearest Neighbor Campaign,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
APT41 DUST,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
ArcaneDoor,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0010,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
C0011,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
C0015,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0017,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0018,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0021,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
C0026,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
C0027,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0032,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C0033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CostaRicto,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Cutting Edge,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
FLORAHOX Activity,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Frankenstein,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
FrostyGoop Incident,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
FunnyDream,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
HomeLand Justice,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Indian Critical Infrastructure Intrusions,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
J-magic Campaign,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Juicy Mix,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
KV Botnet Activity,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Leviathan Australian Intrusions,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Night Dragon,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation CuckooBees,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Dream Job,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Dust Storm,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Ghost,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Honeybee,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation MidnightEclipse,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Sharpshooter,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Spalax,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Operation Wocao,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Outer Space,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Pikabot Distribution February 2024,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Quad7 Activity,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
RedDelta Modified PlugX Infection Chain Operations,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
RedPenguin,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
SPACEHOP Activity,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Salesforce Data Exfiltration,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
ShadowRay,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
SharePoint ToolShell Exploitation,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
SolarWinds Compromise,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Triton Safety Instrumented System Attack,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Versa Director Zero Day Exploitation,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Water Curupira Pikabot Distribution,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
