campaign_name,completeness_score,missing_dimensions,os_variants
2015 Ukraine Electric Power Attack,0.75,persistence_surfaces;security_controls,4
2016 Ukraine Electric Power Attack,1.0,,4
2022 Ukraine Electric Power Attack,0.75,persistence_surfaces;security_controls,4
3CX Supply Chain Attack,0.75,domain_role;persistence_surfaces,4
APT28 Nearest Neighbor Campaign,0.62,privilege;persistence_surfaces;security_controls,4
APT41 DUST,0.62,domain_role;persistence_surfaces;security_controls,4
ArcaneDoor,1.0,,4
C0010,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
C0011,0.25,services;network;privilege;domain_role;persistence_surfaces;security_controls,3
C0015,0.88,persistence_surfaces,4
C0017,0.88,persistence_surfaces,4
C0018,0.75,privilege;persistence_surfaces,4
C0021,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
C0026,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
C0027,0.75,persistence_surfaces;security_controls,4
C0032,0.75,persistence_surfaces;security_controls,4
C0033,0.25,services;network;privilege;domain_role;persistence_surfaces;security_controls,1
CostaRicto,0.62,domain_role;persistence_surfaces;security_controls,4
Cutting Edge,0.88,persistence_surfaces,4
FLORAHOX Activity,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
Frankenstein,0.62,domain_role;persistence_surfaces;security_controls,4
FrostyGoop Incident,0.5,installed_software;privilege;persistence_surfaces;security_controls,4
FunnyDream,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
HomeLand Justice,0.75,persistence_surfaces;security_controls,4
Indian Critical Infrastructure Intrusions,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
J-magic Campaign,0.25,services;network;privilege;domain_role;persistence_surfaces;security_controls,4
Juicy Mix,0.75,persistence_surfaces;security_controls,4
KV Botnet Activity,0.75,installed_software;domain_role,4
Leviathan Australian Intrusions,0.62,installed_software;persistence_surfaces;security_controls,4
Night Dragon,0.75,persistence_surfaces;security_controls,4
Operation CuckooBees,0.75,persistence_surfaces;security_controls,4
Operation Dream Job,0.75,persistence_surfaces;security_controls,4
Operation Dust Storm,0.62,privilege;domain_role;persistence_surfaces,4
Operation Ghost,0.62,domain_role;persistence_surfaces;security_controls,4
Operation Honeybee,0.75,domain_role;persistence_surfaces,4
Operation MidnightEclipse,0.75,persistence_surfaces;security_controls,4
Operation Sharpshooter,0.62,domain_role;persistence_surfaces;security_controls,4
Operation Spalax,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
Operation Wocao,0.75,persistence_surfaces;security_controls,4
Outer Space,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
Pikabot Distribution February 2024,0.5,network;domain_role;persistence_surfaces;security_controls,3
Quad7 Activity,0.62,privilege;persistence_surfaces;security_controls,4
RedDelta Modified PlugX Infection Chain Operations,0.62,domain_role;persistence_surfaces;security_controls,4
RedPenguin,0.75,persistence_surfaces;security_controls,4
SPACEHOP Activity,0.38,installed_software;privilege;domain_role;persistence_surfaces;security_controls,4
Salesforce Data Exfiltration,0.75,domain_role;persistence_surfaces,4
ShadowRay,0.62,installed_software;persistence_surfaces;security_controls,4
SharePoint ToolShell Exploitation,0.75,persistence_surfaces;security_controls,4
SolarWinds Compromise,0.88,persistence_surfaces,4
Triton Safety Instrumented System Attack,0.75,persistence_surfaces;security_controls,4
Versa Director Zero Day Exploitation,0.62,privilege;persistence_surfaces;security_controls,4
Water Curupira Pikabot Distribution,0.5,privilege;domain_role;persistence_surfaces;security_controls,4
