name,id,external_id,attack_url,class,tactics,platforms,permissions,rule_id,rule_desc,rule_evidence,is_fallback
Extra Window Memory Injection,attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,T1055.011,https://attack.mitre.org/techniques/T1055/011,VMR,defense-evasion;privilege-escalation,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Scheduled Task,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,https://attack.mitre.org/techniques/T1053/005,VMR,execution;persistence;privilege-escalation,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Scheduled Task,False
Socket Filters,attack-pattern--005cc321-08ce-4d17-b1ea-cb5275926520,T1205.002,https://attack.mitre.org/techniques/T1205/002,VMR,command-and-control;defense-evasion;persistence,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Archive via Utility,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,T1560.001,https://attack.mitre.org/techniques/T1560/001,VMR,collection,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Windows Management Instrumentation,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,T1047,https://attack.mitre.org/techniques/T1047,VMR,execution,Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,Windows Management Instrumentation,False
Screen Capture,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,T1113,https://attack.mitre.org/techniques/T1113,VMR,collection,Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Fileless Storage,attack-pattern--02c5abff-30bf-4703-ab92-1f6072fae939,T1027.011,https://attack.mitre.org/techniques/T1027/011,VMR,defense-evasion,Windows;Linux,,R8_DEFAULT_VMR,no explicit rule fired,,True
Boot or Logon Initialization Scripts,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,T1037,https://attack.mitre.org/techniques/T1037,VMR,persistence;privilege-escalation,macOS;Windows;Linux;Network Devices;ESXi,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Boot or Logon Initialization Scripts,False
Adversary-in-the-Middle,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,T1557,https://attack.mitre.org/techniques/T1557,VMR,collection;credential-access,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
System Owner/User Discovery,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,T1033,https://attack.mitre.org/techniques/T1033,VMR,discovery,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Acquire Infrastructure,attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,T1583,https://attack.mitre.org/techniques/T1583,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Rundll32,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,T1218.011,https://attack.mitre.org/techniques/T1218/011,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Serverless,attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d,T1583.007,https://attack.mitre.org/techniques/T1583/007,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Standard Encoding,attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,T1132.001,https://attack.mitre.org/techniques/T1132/001,VMR,command-and-control,ESXi;Linux;Windows;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Embedded Payloads,attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,T1027.009,https://attack.mitre.org/techniques/T1027/009,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Pluggable Authentication Modules,attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,T1556.003,https://attack.mitre.org/techniques/T1556/003,VMR,credential-access;defense-evasion;persistence,Linux;macOS,,R8_DEFAULT_VMR,no explicit rule fired,,True
Gather Victim Host Information,attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,T1592,https://attack.mitre.org/techniques/T1592,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Digital Certificates,attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,T1596.003,https://attack.mitre.org/techniques/T1596/003,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Keylogging,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,https://attack.mitre.org/techniques/T1056/001,VMR,collection;credential-access,Linux;macOS;Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
File/Path Exclusions,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,T1564.012,https://attack.mitre.org/techniques/T1564/012,VMR,defense-evasion,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Linux and Mac File and Directory Permissions Modification,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,T1222.002,https://attack.mitre.org/techniques/T1222/002,VMR,defense-evasion,macOS;Linux,,R8_DEFAULT_VMR,no explicit rule fired,,True
PubPrn,attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,T1216.001,https://attack.mitre.org/techniques/T1216/001,VMR,defense-evasion,Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Purchase Technical Data,attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,T1597.002,https://attack.mitre.org/techniques/T1597/002,VMR,reconnaissance,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
OS Credential Dumping,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,T1003,https://attack.mitre.org/techniques/T1003,VMR,credential-access,Linux;macOS;Windows,,R6_VMR_NAME_PATTERN,name pattern indicates kernel/privileged execution mode,OS Credential Dumping,False
Shared Modules,attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,T1129,https://attack.mitre.org/techniques/T1129,VMR,execution,Linux;macOS;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Data from Configuration Repository,attack-pattern--0ad7bc5c-235a-4048-944b-3b286676cb74,T1602,https://attack.mitre.org/techniques/T1602,VMR,collection,Network Devices,,R8_DEFAULT_VMR,no explicit rule fired,,True
Disk Structure Wipe,attack-pattern--0af0ca99-357d-4ba1-805f-674fdfb7bef9,T1561.002,https://attack.mitre.org/techniques/T1561/002,VMR,impact,Linux;macOS;Windows;Network Devices,,R4_VMR_KERNEL_BOOT,kernel/boot/firmware interaction pattern,Disk Structure Wipe,False
Path Interception by PATH Environment Variable,attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32,T1574.007,https://attack.mitre.org/techniques/T1574/007,VMR,defense-evasion;persistence;privilege-escalation,Windows;macOS;Linux,,R8_DEFAULT_VMR,no explicit rule fired,,True
Sharepoint,attack-pattern--0c4b4fda-9062-47da-98b9-ceae2dcf052a,T1213.002,https://attack.mitre.org/techniques/T1213/002,VMR,collection,Windows;Office Suite,,R8_DEFAULT_VMR,no explicit rule fired,,True
Direct Volume Access,attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,T1006,https://attack.mitre.org/techniques/T1006,VMR,defense-evasion,Network Devices;Windows,,R8_DEFAULT_VMR,no explicit rule fired,,True
Artificial Intelligence,attack-pattern--0cc222f5-c3ff-48e6-9f52-3314baf9d37e,T1588.007,https://attack.mitre.org/techniques/T1588/007,VMR,resource-development,PRE,,R8_DEFAULT_VMR,no explicit rule fired,,True
Email Hiding Rules,attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,T1564.008,https://attack.mitre.org/techniques/T1564/008,VMR,defense-evasion,Windows;Linux;macOS;Office Suite,,R8_DEFAULT_VMR,no explicit rule fired,,True
