cve_id,source
CVE-2014-7169,structured
CVE-2015-3113,structured
CVE-2016-6662,structured
CVE-2017-0176,structured
CVE-2017-0199,structured
CVE-2017-8625,structured
CVE-2017-8759,structured
CVE-2019-3610,structured
CVE-2021-30724,structured
CVE-2021-32648,structured
CVE-2022-0185,structured
CVE-2022-21894,structured
CVE-2023-1389,structured
CVE-2024-1708,structured
CVE-2024-1709,structured
CVE-2024-3400,structured
CVE-2024-55591,structured
CVE-2025-49704,structured
CVE-2025-49706,structured
CVE-2025-53770,structured
CVE-2025-53771,structured
CVE-2014-6352,freetext_only
CVE-2022-38028,freetext_only
CVE-2022-42475,freetext_only
CVE-2023-48022,freetext_only
CVE-2024-39717,freetext_only
