campaign_name,campaign_id,technique_count,technique_ids,tactic_count,tactic_sequence,software_count,software_ids,cve_count,cve_ids,platform_signals,has_initial_access,has_exfiltration
2015 Ukraine Electric Power Attack,campaign--46421788-b6e1-4256-b351-f8beffd1afba,17,T1018;T1040;T1055;T1056.001;T1059.005;T1070.004;T1071.001;T1078;T1105;T1112;T1133;T1136.002;T1204.002;T1218.011;T1562.001;T1566.001;T1570,10,initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control,2,S0089;S0607,0,,ESXi;Linux;Windows;macOS,True,False
2016 Ukraine Electric Power Attack,campaign--aa73efef-1418-4dbe-b43c-87a498e97234,21,T1003.001;T1018;T1021.002;T1027;T1027.002;T1036.005;T1036.008;T1036.010;T1047;T1059.001;T1059.003;T1059.005;T1098;T1110;T1136;T1136.002;T1505.001;T1543.003;T1554;T1562.002;T1570,7,execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;lateral-movement,1,S0604,0,,ESXi;Linux;Windows;macOS,False,False
2022 Ukraine Electric Power Attack,campaign--df8eb785-70f8-4300-b444-277ba849083d,10,T1036.004;T1053.005;T1059.001;T1095;T1484.001;T1485;T1505.003;T1543.002;T1570;T1572,7,execution;persistence;privilege-escalation;defense-evasion;lateral-movement;command-and-control;impact,1,S0693,0,,ESXi;Linux;Windows;macOS,False,False
3CX Supply Chain Attack,campaign--4fd53ccc-c6b1-4e3c-abe8-a456d46d789e,22,T1027;T1027.009;T1027.013;T1055;T1055.002;T1071.001;T1078;T1102.001;T1189;T1195.002;T1203;T1217;T1218.007;T1218.015;T1543.004;T1546.016;T1553.002;T1559;T1573.001;T1574.001;T1620;T1678,7,initial-access;execution;persistence;privilege-escalation;defense-evasion;discovery;command-and-control,1,S1144,0,,ESXi;Linux;Windows;macOS,True,False
APT28 Nearest Neighbor Campaign,campaign--a010610e-22cb-437e-bfde-b78861bdca7a,18,T1003.002;T1003.003;T1006;T1016.002;T1021.001;T1021.002;T1059.001;T1059.003;T1074.001;T1090.001;T1110.003;T1140;T1560.001;T1561.001;T1562.004;T1567;T1584;T1669,11,resource-development;initial-access;execution;defense-evasion;credential-access;discovery;lateral-movement;collection;command-and-control;exfiltration;impact,2,S0108;S1205,1,CVE-2022-38028,ESXi;Linux;Windows;macOS,True,True
APT41 DUST,campaign--add4d9de-1256-4166-83b8-57087288dced,23,T1027.013;T1036.004;T1070.004;T1071.001;T1074.001;T1102;T1105;T1119;T1213.006;T1505.003;T1543.003;T1553.002;T1560.001;T1567.002;T1569.002;T1573.002;T1574.001;T1583.007;T1586.003;T1588.003;T1593.002;T1594;T1596.005,9,reconnaissance;resource-development;execution;persistence;privilege-escalation;defense-evasion;collection;command-and-control;exfiltration,4,S0154;S0160;S1158;S1159,0,,ESXi;Linux;Windows;macOS,False,True
ArcaneDoor,campaign--a543ef15-91ea-4aa9-9c10-267d56e1ee82,25,T1014;T1020;T1036;T1037;T1040;T1041;T1055;T1059;T1070.004;T1071.001;T1082;T1102.003;T1119;T1133;T1140;T1190;T1556;T1557;T1562.001;T1562.003;T1583.003;T1583.006;T1587.001;T1587.003;T1653,11,resource-development;initial-access;execution;persistence;privilege-escalation;defense-evasion;credential-access;discovery;collection;command-and-control;exfiltration,2,S1186;S1188,0,,ESXi;Linux;Windows;macOS,True,True
C0010,campaign--ab747e62-1bcb-479f-a26b-1cd39d413d81,9,T1105;T1189;T1583.001;T1584.001;T1587.001;T1588.002;T1608.001;T1608.002;T1608.004,3,resource-development;initial-access;command-and-control,2,S1042;S1049,0,,ESXi;Linux;Windows;macOS,True,False
C0011,campaign--b4e5a4a9-f3be-4631-ba8f-da6ebb067fac,8,T1059.005;T1204.001;T1204.002;T1566.001;T1566.002;T1583.001;T1587.003;T1608.001,3,resource-development;initial-access;execution,1,S0115,0,,Linux;Windows;macOS,True,False
C0015,campaign--78068e68-4124-4243-b6f4-76e4e5be8a06,34,T1005;T1016;T1018;T1021.001;T1027;T1030;T1036;T1039;T1047;T1055.001;T1057;T1059.003;T1059.005;T1059.007;T1069.001;T1069.002;T1074.001;T1083;T1105;T1124;T1135;T1204.002;T1218.005;T1218.010;T1218.011;T1219.002;T1482;T1486;T1553.002;T1566.001;T1567.002;T1570;T1588.001;T1588.002,11,resource-development;initial-access;execution;privilege-escalation;defense-evasion;discovery;lateral-movement;collection;command-and-control;exfiltration;impact,5,S0154;S0534;S0552;S0575;S1040,0,,ESXi;Linux;Windows;macOS,True,True
