min_technique_count,sample_size,confused_count,confusion_pct
1,168,0,0.0
2,164,0,0.0
3,158,0,0.0
4,156,0,0.0
5,149,0,0.0
6,143,0,0.0
7,137,0,0.0
8,130,0,0.0
9,127,0,0.0
10,118,0,0.0
11,116,0,0.0
12,109,0,0.0
13,101,0,0.0
14,100,0,0.0
15,95,0,0.0
16,92,0,0.0
17,86,0,0.0
18,83,0,0.0
19,82,0,0.0
20,77,0,0.0
21,76,0,0.0
22,74,0,0.0
23,70,0,0.0
24,69,0,0.0
25,68,0,0.0
26,66,0,0.0
27,65,0,0.0
28,63,0,0.0
29,59,0,0.0
30,56,0,0.0
31,54,0,0.0
32,50,0,0.0
33,50,0,0.0
34,49,0,0.0
35,47,0,0.0
36,46,0,0.0
37,43,0,0.0
38,43,0,0.0
39,43,0,0.0
40,43,0,0.0
41,40,0,0.0
42,37,0,0.0
43,36,0,0.0
44,35,0,0.0
45,32,0,0.0
46,32,0,0.0
47,30,0,0.0
48,30,0,0.0
49,29,0,0.0
50,27,0,0.0
51,26,0,0.0
52,26,0,0.0
53,25,0,0.0
54,23,0,0.0
55,23,0,0.0
56,23,0,0.0
57,20,0,0.0
58,18,0,0.0
59,17,0,0.0
60,16,0,0.0
61,16,0,0.0
62,16,0,0.0
63,16,0,0.0
64,16,0,0.0
65,14,0,0.0
66,14,0,0.0
67,13,0,0.0
68,12,0,0.0
69,11,0,0.0
70,11,0,0.0
71,10,0,0.0
72,10,0,0.0
73,10,0,0.0
74,10,0,0.0
75,10,0,0.0
76,10,0,0.0
77,9,0,0.0
78,9,0,0.0
79,8,0,0.0
80,6,0,0.0
81,6,0,0.0
82,5,0,0.0
83,4,0,0.0
84,4,0,0.0
85,4,0,0.0
86,3,0,0.0
87,3,0,0.0
88,3,0,0.0
89,3,0,0.0
90,3,0,0.0
91,3,0,0.0
92,2,0,0.0
93,2,0,0.0
94,1,0,0.0
95,1,0,0.0
96,1,0,0.0
97,1,0,0.0
98,1,0,0.0
99,1,0,0.0
100,1,0,0.0
101,1,0,0.0
102,1,0,0.0
103,1,0,0.0
104,1,0,0.0
105,1,0,0.0
106,1,0,0.0
107,1,0,0.0
108,1,0,0.0
109,1,0,0.0
